name,area,category,official_url,proposed_source_url,source_lane,priority,registry_state,enabled_initially,notes
African Diaspora Art Museum of Atlanta,Atlanta,museum/nonprofit,https://www.adamatl.org/,https://www.adamatl.org/events,official_html,high,existing,yes,Black-led museum and public programs
Atlanta Film Society,Atlanta,film arts organization,https://www.atlantafilmsociety.org/,https://www.atlantafilmsociety.org/upcoming-events,official_html,high,existing,yes,Independent film programming
Eyedrum,Atlanta,artist-run multidisciplinary space,https://www.eyedrum.org/,https://www.eyedrum.org/calendar-events-performances-art-music,official_html,high,existing,yes,Experimental art music and performance
Gallery FC,Atlanta,contemporary gallery,https://www.galleryfc.com/,https://www.galleryfc.com/calendar,official_html,high,existing,yes,Squarespace calendar
GSU College of the Arts,Atlanta,university arts organization,https://thearts.gsu.edu/,https://calendar.gsu.edu/api/2/events?days=365&pp=50&group_id=49950248654830,json,high,existing,yes,Official Localist group feed
GSU Creative Media Industries Institute,Atlanta,university creative-media organization,https://cmii.gsu.edu/,https://calendar.gsu.edu/api/2/events?days=365&pp=50&group_id=9310,json,high,existing,yes,Official Localist group feed
GSU Ernest G. Welch School of Art and Design,Atlanta,university gallery/art school,https://artdesign.gsu.edu/,https://calendar.gsu.edu/api/2/events?days=365&pp=50&group_id=52826512416956,json,high,existing,yes,Official Localist group feed
GSU Perimeter College Fine Arts,Clarkston/university perimeter,university galleries,https://perimeter.gsu.edu/fine-arts/,https://calendar.gsu.edu/api/2/events?days=365&pp=50&group_id=12106,json,high,existing,yes,Official Localist group feed
High Museum of Art,Atlanta,museum,https://high.org/,https://high.org/event-category/for-adults/art-making/,official_html,high,existing,yes,Existing source is limited to adult art-making and should later be complemented by exhibitions and selected programs
Kai Lin Art,Atlanta,commercial contemporary gallery,https://www.kailinart.com/,https://www.kailinart.com/news,official_html,high,existing,yes,Exhibitions and openings
LOOP ATL,Atlanta,multidisciplinary arts venue,https://loopatl.space/,https://loopatl.space/event-calendar,official_html,high,existing,yes,Embedded BigTickets calendar
Out of Hand Theater,Metro Atlanta,multidisciplinary theater organization,https://outofhandtheater.com/,https://app.outofhandtheater.com/WeHoldTheseTruths,official_html,medium,existing,yes,Current source is series-specific rather than organization-wide
Plaza Theatre,Atlanta,independent cinema,https://www.plazaatlanta.com/,https://www.plazaatlanta.com/special-events/,official_html,high,existing,yes,Special screenings and film-community programs
Rampant Gallery,Atlanta,independent gallery,https://rampantgallery.com/,https://rampantgallery.com/,official_html,high,existing,yes,Homepage carries current exhibition data
The Pollinator Art Space,Atlanta,independent art space,https://thepollinatorartspace.com/,https://thepollinatorartspace.com/,official_html,high,existing,yes,Artist-led exhibitions
Atlanta Contemporary,Atlanta,contemporary art center/nonprofit,https://atlantacontemporary.org/,https://atlantacontemporary.org/exhibitions/upcoming,official_html,high,add,yes,Major contemporary exhibitions; separately inspect event-program path
Museum of Contemporary Art of Georgia,Atlanta,museum,https://mocaga.org/,https://mocaga.org/exhibitions-events/,official_html,high,add,no,Temporarily closed during its move; register disabled and enable when programming resumes
Museum of Design Atlanta,Atlanta,design museum,https://www.museumofdesign.org/,https://www.museumofdesign.org/moda-events,official_html,high,add,yes,Dedicated Squarespace events listing
Spelman College Museum of Fine Art,Atlanta,university museum,https://www.spelman.edu/museum-of-fine-art/,https://www.spelman.edu/museum-of-fine-art/,official_html,high,add,yes,Black women artists and related public programs
Clark Atlanta University Art Museum,Atlanta,university museum,https://www.cau.edu/about/cultural-contributions/art-museum,https://www.cau.edu/about/cultural-contributions/art-museum/current-exhibitions,official_html,high,add,yes,African American and African Diaspora art
